,fname,text
10,ociacao crianca feliz de sorocaba,"ociacao crianca feliz de sorocaba.    Eventos  Nesse vídeo é mostrado nosso trabalho e eventos que fizemos https://criancafelizdesorocaba.org.br/wp-content/uploads/2018/05/ongAssociacaoCriancaFeliz-Projetos.mp4 Eventos que fazemos estão listados em nossa página do facebook, clique em curtir 🙂   (function(d, s, id) {<br /> var js, fjs = d.getElementsByTagName(s)[0];<br /> if (d.getElementById(id)) return;<br /> js = d.createElement(s); js.id = id;<br /> js.src = 'https://connect.facebook.net/pt_BR/sdk.js#xfbml=1&version=v3.0&appId=954191534788374&autoLogAppEvents=1';<br /> fjs.parentNode.insertBefore(js, fjs);<br /> }(document, 'script', 'facebook-jssdk')); Associação Criança Feliz de Sorocaba Você também pode ver em nosso instagram, siga-nos [instagram url=https://www.instagram.com/crianca_feliz_sorocaba/]             Visualizar esta foto no Instagram.                     Oficina de hoje: Identidade do Grupo – A importância do trabalho em equipe e confiança no outro 😁 Porque aprender, pode ser divertido kkk Uma publicação compartilhada por Associação Criança Feliz (@crianca_feliz_sorocaba) em 11 de Fev, 2019 às 10:04 PST     "
11,ciacao crianca feliz de sorocaba,"ciacao crianca feliz de sorocaba.    Filial   Com o objetivo de ampliar os atendimentos oferecidos e dar continuidade aos projetos desenvolvidos ao longo da experiência da ACFS, sua filial estabelecida na Rua Raimundo Correia nº55, tem o objetivo de dar oportunidades aos jovens que já completaram 18 anos, realizarem um plano de formação profissional e ainda desenvolverem o incentivo à pratica do esporte e cultura. Sua atividade abrange ainda os portadores de necessidades especiais.  Reunião Filial Associação Criança Feliz de Sorocaba. Para isso, a entidade conta com a parceria com o NURAP e entidades como a ASFA e Associação Bem Estar, ambos voltados para o esporte inclusivo. Jovens estudando na Associação Criança Feliz de Sorocaba.   "
12, associacao crianca feliz de sorocaba, associacao crianca feliz de sorocaba. 
13,ais associacao crianca feliz de sorocaba,ais associacao crianca feliz de sorocaba.    Institucionais   CNPJ  http://www.criancafelizdesorocaba.org.br//wp-content/uploads/2020/05/CNPJ.pdf Estatuto Registrado http://www.criancafelizdesorocaba.org.br//wp-content/uploads/2020/05/ESTATUTO.pdf Diretores 2018 – 2020 http://www.criancafelizdesorocaba.org.br//wp-content/uploads/2020/08/Rela%C3%A7%C3%A3o-de-Dirigentes-2018_2020.pdf Diretores 2020 – 2022 http://www.criancafelizdesorocaba.org.br//wp-content/uploads/2020/05/DIRETORES-2020.pdf Diretores 2022 – 2024 https://drive.google.com/file/d/1MDmeYNe6UDHKZ7YomvJvWr0A5SYtPkhN/view?usp=share_link Regulamento de compras e contratações http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2018/05/Regulamentos-de-Compras-e-Contratacoes.pdf Lista de prestadores de serviços – NF e RPAs – 2019 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/Prestadores-NF-E-RPAs-2019.pdf Lista de prestadores de serviços – NF e RPAs – 2020 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/Prestadores-NF-E-RPAs-2020.pdf Lista de prestadores de serviços – NF e RPAs – 2021 https://drive.google.com/file/d/1IRpCPwH7Tnp5lKloLJGgkOennN7w5xoq/view?usp=sharing Tabela de Recursos Humanos – secid http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2018/05/Tabela-de-Recursos-Humanos.pdf DECLARAÇÃO DE NÃO REMUNERAÇÃO DOS DIRIGENTES http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/10/ DECLARAÇÃO-DE-NÃO-REMUNERAÇÃO-DOS-CARGOS-DE-DIRETORIA.pdf   Ata de Aprovação de Contas – 2020 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/ 2020/05/Ata-de-aprovação-de-contas.pdf Demonstrativo do Resultado do Período – 2018 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2019/04/Demonstracao_2018_12.pdf Notas explicativas – 2020 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/05/Notas-Explicativas.pdf Parecer do conselho fiscal ás demonstrações contábeis – 2020 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/05/Parecer-Conselho.pdf Relatório de Atividades 2017 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/Relatório-de-Atividades-2017-3.pdf Relatório de Atividades 2018 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/09/Relatorio-de-Atividades-2018.pdf Relatório de Atividades 2019 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/09/Relatorio-de-Atividades-Anual-2019-CEBAS.pdf Balanço patrimonial – 2017 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/Balanco_2017-sintetico.pdf Demonstrações contábeis – 2017 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/demonstrativo2017.pdf Balanço patrimonial – 2018 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/Balanco_2018_12.pdf Demonstrações contábeis – 2018 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/Demonstracao_2018_12-1.pdf Balanço patrimonial – 2019 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2021/02/BALANÇO-2019.pdf Balanço patrimonial + Parecer do Conselho Fiscal – 2020 https://drive.google.com/file/d/1gWo8VIujqjCvtgcSDJbPHqQ07U6Y9tnV/view?usp=sharing Demonstrações contábeis – 2019 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2020/05/Demonstrações-Contábeis.pdf Balanço patrimonial – 2020 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2021/02/2Balanço.pdf Demonstrações contábeis – 2020 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2021/02/3D.-R.-E..pdf Notas Explicativas Às Demonstrações Contábeis Referentes Aos Exercícios Findos Em 31 De Dezembro De 2020 E 2019 http://www.criancafelizdesorocaba.org.br/wp-content/uploads/2021/02/8Nota_Explicativa.pdf Balanço Patrimonial – 2021 https://drive.google.com/file/d/1u1ByslSTV-FULSnmFcuLqXVJZKK2uXSD/view?usp=sharing Carta de Responsabilidade da Administração  https://drive.google.com/file/d/1N2CKQALjZESqwEVSNW3BTGlMkvM0q1bH/view?usp=sharing ATA da Aprovação das Contas Fiscais  https://drive.google.com/file/d/1mC4MdaTC-ISBlkrjS2N5UflxRqEwuV_w/view?usp=sharing   
14,sociacao crianca feliz de sorocaba,"sociacao crianca feliz de sorocaba.    Oficinas  Oficina de CulináriaDesenvolvemos a receita como um dos portadores de texto, para desenvolver a escrita, leitura e interpretação, valorização do trabalho e das capacidades individuais e coletivas. Brinquedo de SucatasPara o desenvolvimento da criatividade explorando materiais descartáveis, dando função e reaproveitamento a um objeto sem valor. Música e MovimentoDesenvolvimento da coordenação motora, a expressão corporal, conexão com o próprio corpo de forma divertida, integração entre os familiares. oficina Contação de Históriasalém de cultural, explorar a imaginação, a criatividade e ao mesmo tempo contextualizar temas transversais. Jogos de RaciocíniosExplorar e desenvolver os diferentes tipos de raciocínios e habilidades. Oficina de Mães / PaisProporcionar a integração, promover o diálogo e trabalhar a valorização dos vínculos familiares. Veja fotos em nossa página: www.facebook.com/AssociacaoCriancaFelizSorocaba Adolecentes Diversidade – Promover atitudes de respeito mútuo, dignidade e solidariedade, por meio de prática lúdica. Construção de noção de cidadania, responsabilidades e interação social. Promover a discussão de artigos, vídeos e outros, visando desenvolver a inicialização de processos de ética e cidadania. Linguagem – Desenvolver a leitura e interpretação de texto para que tenham autonomia às situações emergentes, aprimorando suas relações interpessoais ajudando-os a desenvolver o protagonismos de si mesmo através de atividades de linguagem fora do padrão de treino em realidades dialogadas, incentivando discussões que ampliem a forma de falar e escrever com maior assertividade. Arte e Cultura – Despertar o fazer artístico, desenvolvendo competências e habilidades relacionadas diretamente com a compreensão que cada um tem de mundo e como cada um constrói a partir da sua historia pessoal, estimulado novos olhes que colaborem com seu desenvolvimento global. Robótica – Estimula a aprendizagem por meio de jogos e outras atividades, voltadas a cálculos e raciocínio logico. As atividades são desenvolvidos através de dinâmicas, situações problemas e construção que envolva criatividade, cálculos e logicas possibilitando a assimilação de conceitos por meio de varias via de acesso e não o ensino formal. OFICINAS COM FAMILIAS Rainha Empreendora – Capacitar mulheres e familiares dos usuários, para geração de renda com atividades que possibilitem o fortalecimento sócio produtivo ao mesmo tempo que se trabalha a cidadania promovendo varias habilidades e estimulando suas potencialidades. Promovendo melhoria de renda e o aumento de autoestima.Conversando e Desconstruindo – Desenvolver soluções para problemas do cotidiano, colhendo demandas através de rodas de conversas, contribuindo para a prevenção e proteção a situação de vulnerabilidade e/ou risco, levando informações de garantias de direitos, construindo assim fortalecimento dos vínculos familiares.   "
15,ial associacao crianca feliz de sorocaba,"ial associacao crianca feliz de sorocaba.     Um Pouco da Nossa história  A instituição surgiu a partir da observação de que no município não havia atendimento específico para a criança sem deficiência, mas que apresentasse dificuldades na aprendizagem e necessitasse de um apoio pedagógico específico. Iniciou suas atividades em 2008 por um grupo de profissionais voluntários e estagiários da área de Pedagogia e Psicologia. A comunidade atendida pela Associação Criança Feliz corresponde a uma população carente, embora as crianças que fazem parte da instituição não tenham deficiências orgânicas apresentam grande déficit em seu aprendizado, sendo que muitas delas necessitam de um currículo diferenciado para aquisição especial de ensino. saiba mais       Para muitos, as expressões ""dificuldade"" e ""transtorno"" de aprendizagem têm o mesmo significado. Mas vale enfatizar que são dois problemas diferentes e que se manifestam e devem ser tratadas de maneiras distintas.Ribbon button label:Saiba maisSaiba mais       Informativos  Post slider navigation: Down Post slider navigation: Up     fev, 22     Como ajudar criança com dificuldade de aprendizagem   22/02/2018  by  Paulo Tiago Castanho Mariano    Se você tem uma criança, ela tem alguma dificuldade de aprendizagem você pode se perguntar: Como ajudar criança com dificuldade de aprendizagem, certo? Porém, antes veja se é um problema de dificuldades de aprendizagem ou transtorno. Veja a diferença: As dificuldades de aprendizagem, normalmente, estão relacionadas a fatores externos que acabam interferindo no processo do aprenderRead more about Como ajudar criança com dificuldade de aprendizagem[…] Read more Como ajudar criança com dificuldade de aprendizagem    jan, 31     Transtornos de aprendizagem   31/01/2018  by  Paulo Tiago Castanho Mariano    Para muitos, as expressões “dificuldade” e “transtorno” de aprendizagem têm o mesmo significado. Mas vale enfatizar que são dois problemas diferentes e que se manifestam e devem ser tratadas de maneiras distintas. As dificuldades de aprendizagem, normalmente, estão relacionadas a fatores externos que acabam interferindo no processo do aprender do estudante, como a metodologia daRead more about Transtornos de aprendizagem[…] Read more Transtornos de aprendizagem    jan, 29     Informativo   29/01/2018  by  Rosana Cazarin    Doações mensais Se você gostaria de ajudar mas não consegue tempo para se doar em atividades, pode fazer a sua contribuição através de doação mensal: Seja um padrinho com R$ 20,00 / R$30,00 / R$ 50,00 / R$ 100,00 / outro valor; você estará nos ajudando a melhorar a qualidades dos atendimentos prestados e aRead more about Informativo[…] Read more Informativo      "
16,ssociacao crianca feliz de sorocaba,"ssociacao crianca feliz de sorocaba.    Parceiros  Esses são os principais parceiros,torne-se parceiro com a sua empresa também     "
17,ssociacao crianca feliz de sorocaba,ssociacao crianca feliz de sorocaba.    Participe  Você se identifica em fazer com que nossas crianças consigam ter tratamentos para aprendizagem eficaz? As formas de participar da nossa Associação são de três jeitos: Doação mensal / “Apadrinhando” uma criança Voluntário de atividade fim Voluntário de atividade meio    
18,municipal de aluminio associacao crianca feliz de sorocaba,municipal de aluminio associacao crianca feliz de sorocaba.    Prefeitura Municipal de Alumínio   Termo De Fomento – ABRIR  Prestação de Contas 2022    
19,luntariado associacao crianca feliz de sorocaba,"luntariado associacao crianca feliz de sorocaba.    Projetos / Voluntariado  você pode colaborar diretamente em nossa rotina ou indiretamente! Se tem interesse em desenvolver atividades com as crianças (atividade-fim) de teatro, circo, dança, esportes, artes marciais, músicas entre outros, envie seu projeto com duração máxima de 4 meses – 1 vez na semana para [email protected] Agora, se quer colaborar de outras maneiras indiretas (atividade-meio) como no transporte e logística, eventos, captação de doações, etc. entre em contato [email protected]   "
20,associacao crianca feliz de sorocaba,"associacao crianca feliz de sorocaba.    Quem Somos  A Associação Criança Feliz de Sorocaba e uma instituição socioassistencial que iniciou suas atividades em 2008. Reconhecida como Utilidade Pública Municipal e Estadual, é registrada nos Conselhos Municipais de Assistência Social e dos Direitos da Criança e da Adolescência. Faz parte do Cadastro Estadual de Entidades Assistenciais e reconhecida como CEBAS (Certificação de Entidade Beneficente de Assistência Social). A instituição atende gratuitamente, aproximadamente 120 usuários diretos, crianças e adolescentes entre 06 a 18 anos, em situação de baixa renda, vítimas de violência domestica, negligência familiar e que vivem em condições precárias de moradia. O principal objetivo e incluí—las na sociedade. Dessa forma, a Criança Feliz, contribuí para o desenvolvimento biopsicossocial através de atividades pedagógicas, esportivas, educação preventiva e na garantia da não violação dos Direitos Humanos e dos Direitos das Crianças e Adolescentes. A instituição oferece aulas de teatro, dança, musicalização, artes, recreação, informática, robótica, reforço escolar, oficina de reciclagem, acompanhamento social e psicológico orientação familiar constante de garantida de direitos e programas de geração de renda.   Possui projetos certificados pelo Selo Social de Sorocaba, nas edições de 2015 e 2016; totalizando 6 Projetos Certificados, 15 Impactos Sociais e 538 pessoas beneficiadas. Para saber mais, visite: http://www.selosocial.com/criancafelizsorocaba. Hoje conta com profissionais das áreas de Pedagogia, Psicopedagogia, Psicologia, Serviço Social, Arte Terapia; atendendo a crianças, jovens e adultos com Dislexia, Disgrafia, Disortografia, Discalculia,  TDAH, Asperger, Analfabetismo Funcional  e outros Transtornos e/ou Síndromes que tragam diretamente prejuízos nas aquisições e desenvolvimento da aprendizagem.           Visualizar esta foto no Instagram.                   Conheça mais do nosso trabalho Apoie esta causa e nos ajude a transformar histórias como essa do THEO Uma publicação compartilhada por Associação Criança Feliz (@crianca_feliz_sorocaba) em 4 de Dez, 2018 às 9:12 PST     "
21,acao crianca feliz de sorocaba,acao crianca feliz de sorocaba.    SEDU   SEDU Profissionais Vinculados do Plano de Trabalho 2020 http://criancafelizdesorocaba.org.br/wp-content/uploads/2020/08/SEDU-%E2%80%93-Profissionais-Vinculados-do-Plano-de-Trabalho.pdf     CEI 115 CEI 126 CEI 133 CEI 135    
22,ia associacao crianca feliz de sorocaba,ia associacao crianca feliz de sorocaba.    Transparência   Esta página exibe os documentos referente a Associação Criança Feliz de Sorocaba  DOCUMENTO                                                                                                          CATEGORIA                           VALIDADE               VISUALIZAR  CNPJ Documentos institucionais –  (PDF) Estatuto Registrado Documentos institucionais –  (PDF) Diretores 2020 – 2022 Documentos institucionais –  (PDF) Relatório de Atividades Anual 2018 Documentos institucionais –  (PDF) Regulamento de compras e contratações Documentos institucionais –  (PDF) Tabela de Recursos Humanos Documentos institucionais –  (PDF) DECLARAÇÃO DE NÃO REMUNERAÇÃO DOS DIRIGENTES Documentos institucionais – (PDF) Relação de Profissionais Documentos institucionais – (PDF) CND Tributários da Dívida Ativa do Estado de São Paulo Certidões 2020  (PDF) CND Tributos Federais e à Dívida Ativa da União Certidões 11/11/2020  (PDF) CND FGTS Certidões 2020  (PDF) CND Trabalhista Certidões 11/11/2020  (PDF) CERTIDÃO NEGATIVA MOBILIÁRIO Certidões 19/10/2020  (PDF) Ata Assembleia Geral – 2020 a 2022 Atas –  (PDF) Ata de Aprovação de Contas – 2020 Atas –  (PDF) Demonstrativo do Resultado do Período – 2018 Documentos Contábeis –  (PDF) Notas explicativas – 2020 Documentos Contábeis –  (PDF) Balanço patrimonial – 2019 Documentos Contábeis –  (PDF) Demonstrações contábeis – 2020 Documentos Contábeis –  (PDF) Certidão CRC – 2020 Documentos Contábeis –  (PDF) Parecer do conselho fiscal ás demonstrações contábeis – 2020 Documentos Contábeis –  (PDF) Termo de Colaboração SEMES –  (PDF) Anexo RP-09 SEMES –  (PDF) Plano de Trabalho 2018-2019 – –  (PDF) Plano de Trabalho 2019-2020 – –  (PDF) Plano de Trabalho 2020-2021 – –  (PDF) Termo Aditivo de Repactuação – 21/06/2020  (PDF) Termo Aditivo de Prorrogação 2018-2019 – –  (PDF) Termo Aditivo de Prorrogação 2019-2020 – –  (PDF) Planilha Orçamentaria 2019-2020 – –  (PDF) Relação de Profissionais Tirando de Letra Documentos   (PDF) Orçamento Anual Tirando de Letra Documentos – (PDF) Plano de Trabalho Tirando de Letra Documentos – (PDF) Relação de Dirigentes 2018-2020 – – (PDF) SECID Profissionais Vinculados do Plano de Trabalho 2020 – – (PDF) SEDU Profissionais Vinculados do Plano de Trabalho 2020 – – (PDF) CONDECA Profissionais Vinculados do Plano de Trabalho – – (PDF) FUNCAD Profissionais Vinculados do Plano de Trabalho – – (PDF) Lista de prestadores de serviços – NF E RPAs 2019 – – (PDF) Lista de prestadores de serviços – NF E RPAs 2020 – – (PDF) Relatório de Atividades 2017 – – (PDF) Relatório de Atividades 2018 – – (PDF) Relatório de Atividades 2019 – – (PDF) Balanço 2017 – – (PDF) Demonstrativo 2017 – – (PDF) Balanço 2018 – – (PDF) Demonstração 2018 – – (PDF) Relatório de Execução Financeira RP14 Municipal 2017 2º Semestre – – (PDF) Relatório de Execução Financeira RP14 Municipal 6 a 11 2017 – – (PDF) Relatório de Execução Financeira RP14 Municipal 12 a 17 2017 – – (PDF) Relatório de Execução Financeira RP14 FEDERAL 2018 – – (PDF) Relatório de Execução Financeira RP14 2018 – – (PDF) Prestação de Contas Municipal Janeiro 2019 – – (PDF) Prestação de Contas Municipal Fevereiro 2019 – – (PDF) Prestação de contas Municipal Março 2019 – – (PDF) Prestação de Contas Municipal Abril 2019 – – (PDF) Prestação de Contas Municipal Maio 2019 – I – – (PDF) Prestação de Contas Municipal Maio 2019 – II – – (PDF) Prestação de Contas Municipal Junho 2019 – – (PDF) Prestação de Contas Municipal Julho 2019 – – (PDF) Prestação de Contas Municipal Agosto 2019 – I – – (PDF) Prestação de Contas Municipal Agosto 2019 – II – – (PDF) Prestação de Contas Municipal Setembro 2019 – – (PDF) Prestação de Contas Municipal Outubro 2019 – – (PDF) Prestação de Contas Municipal Novembro 2019 – I – – (PDF) Prestação de Contas Municipal Novembro 2019 – II – – (PDF) Prestação de Contas Municipal Dezembro 2019 – I – – (PDF) Prestação de Contas Municipal Dezembro 2019 – II – – (PDF) Prestação de Contas Estadual Janeiro 2019 – I – – (PDF) Prestação de Contas Estadual Janeiro 2019 – II – – (PDF) Prestação de Contas Estadual Fevereiro 2019 – I – – (PDF) Prestação de Contas Estadual Fevereiro 2019 – II – – (PDF) Prestação de Contas Estadual Março 2019 – – (PDF) Prestação de Contas Estadual Abril 2019 – – (PDF) Prestação de Contas Estadual Maio 2019 – I – – (PDF) Prestação de Contas Estadual Maio 2019 – II – – (PDF) Prestação de Contas Estadual Junho 2019 – – (PDF) Prestação de Contas Estadual Julho 2019 – – (PDF) Prestação de Contas Estadual Agosto 2019 – I – – (PDF) Prestação de Contas Estadual Agosto 2019 – II – – (PDF) Prestação de Contas Estadual Setembro 2019 – – (PDF) Prestação de Contas Estadual Outubro 2019 – I – – (PDF) Prestação de Contas Estadual Outubro 2019 – II – – (PDF) Prestação de Contas Estadual Novembro 2019 – – (PDF) Prestação de Contas Estadual Dezembro 2019 – – (PDF) Prestação de Contas Municipal Janeiro 2020 – I – – (PDF) Prestação de Contas Municipal Janeiro 2020 – II – – (PDF) Prestação de Contas Municipal Fevereiro 2020 – – (PDF) Prestação de contas Municipal Março 2020 – – (PDF) Prestação de Contas Municipal Abril 2020 – – (PDF) Prestação de Contas Municipal Maio 2020 – – (PDF) Prestação de Contas Municipal Junho 2020 – – (PDF) Prestação de Contas Municipal Julho 2020 – – (PDF) Prestação de Contas Estadual Janeiro 2020 – I – – (PDF) Prestação de Contas Estadual Janeiro 2020 – II – – (PDF) Prestação de Contas Estadual Fevereiro 2020 – – (PDF) Prestação de contas Estadual Março 2020 – I – – (PDF) Prestação de contas Estadual Março 2020 – II – – (PDF) Prestação de Contas Estadual Abril 2020 – – (PDF) Prestação de Contas Estadual Maio 2020 – – (PDF) Prestação de Contas Estadual Junho 2020 – I – – (PDF) Prestação de Contas Estadual Junho 2020 – II – – (PDF) Prestação de Contas Estadual Julho 2020 – – (PDF)  Portal da Transparência: http://leideacesso.etransparencia.com.br/sorocaba.prefeitura.sp/ Portal da Transparência FUMCAD: http://transparencia.prefeitura.sp.gov.br/fundos/funcad/  Institucionais Secretaria de igualdade SEDU SEMES CONDECA FUMCAD PM Alumínio    
